Video Title,Video URL,Help-Routing Category
Getting Started with Big Red Cloud: Company Setup Guide,https://www.youtube.com/watch?v=zx68yfxXje4,setup
Sales Invoices Cash Book and Bank Rec in Big Red Cloud,https://www.youtube.com/watch?v=IWcd_jLLOyU,sales_cash_bank_rec
Bank Feeds and Open Banking in Big Red Cloud Explained,https://www.youtube.com/watch?v=hLH8BwLTmbo,bank_feeds
